,Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout,MoM_Change,Volatility,MoM_Change_Scaled,Volatility_Scaled,MoM_Score,Volatility_Score,Risk_Score,Risk_Level
60,2015-03-02,4498095.61,3989874.28,320267450.0,397662387.8,28388474.51,5822877.01,5190750.88,508221.33,14.01,0.0,0.09,449792.51,434581.36,843247.89,0.48803303077304055,15343624.974316528,25.49910256074374,47.392183111982334,25.49910256074374,47.392183111982334,36.445642836363035,Medium
61,2015-03-03,3442141.29,2539799.76,282055742.5,354519609.6,55702455.76,4734141.23,6562011.58,902341.53,6.36,0.0,0.19,300735.66,1044832.17,652199.14,0.18462975278281846,14038933.66818249,20.758341964690853,43.36235512880263,20.758341964690853,43.36235512880263,32.060348546746745,Medium
62,2015-03-04,8458637.58,2859756.21,463726388.0,256894264.1,47734449.5,11949723.73,1017777.03,5598881.37,5.38,0.01,0.47,1644416.85,1425746.22,2042865.12,0.0,14068189.52019726,17.87345073131407,43.45271830556835,17.87345073131407,43.45271830556835,30.66308451844121,Medium
63,2015-03-05,4210779.94,2483432.36,273633567.3,236363397.3,11631163.69,5289342.43,3010917.81,1727347.58,20.32,0.01,0.33,1199637.31,438668.42,101164.48,-0.04319212082786892,14888299.486219782,17.19856183150688,45.98580952402289,17.19856183150688,45.98580952402289,31.592185677764885,Medium
64,2015-03-06,3528410.59,2303433.77,496471106.7,255850982.3,81348230.22,13252310.98,2852773.44,1224976.81,3.15,0.0,0.09,1274741.54,1226625.61,2437084.39,2.1568073576112083,12820743.925335405,51.57416550925291,39.59970637697341,51.57416550925291,39.59970637697341,45.58693594311316,Medium
65,2015-03-07,5884264.75,3018381.49,433141231.0,96498600.97,16214131.57,3336953.7,5267339.91,2865883.26,5.95,0.01,0.86,1584777.97,130271.73,329823.86,0.0,17987943.53180456,17.87345073131407,55.55974648065546,17.87345073131407,55.55974648065546,36.716598605984764,Medium
66,2015-03-08,2268318.02,1198581.11,143829731.5,170152342.4,52682951.89,3637417.55,3169683.3,1069736.92,3.23,0.01,0.29,1436226.73,830275.46,655319.88,0.3813426201175726,22353051.752253167,23.83203522329578,69.04234973988525,23.83203522329578,69.04234973988525,46.437192481590515,Medium
67,2015-03-09,8219772.83,1318676.59,468767846.6,34994622.5,60461046.54,14728970.22,1613800.86,6901096.24,0.58,0.01,0.47,1685470.68,152297.59,1220085.55,0.8832216303806664,20414722.843270306,31.67403433287025,63.055391720542985,31.67403433287025,63.055391720542985,47.36471302670662,Medium
68,2015-03-10,1670955.79,4378035.29,102364879.1,200707494.2,66558381.1,10759905.68,4973503.07,-2707079.5,3.02,-0.03,-0.25,206806.42,1404347.84,1506090.35,0.8750852050958339,22514642.543270417,31.546900425027943,69.54145867730509,31.546900425027943,69.54145867730509,50.544179551166515,Medium
69,2015-03-11,9881982.43,4757519.58,417852368.8,226349341.9,71976846.64,13009533.92,6607879.41,5124462.85,3.14,0.01,0.39,1520289.21,1161209.36,1129485.84,0.5722137878995145,23261597.380401578,26.814450301792036,71.84859408220167,26.814450301792036,71.84859408220167,49.331522191996854,Medium
70,2015-03-12,7950202.92,2179891.92,221280482.1,106544899.7,32794514.52,6216281.91,3365926.21,5770311.0,3.25,0.03,0.93,1716620.24,1004027.37,1030065.28,0.011232773886958774,18600183.285935733,18.04896594716939,57.45078452315116,18.04896594716939,57.45078452315116,37.749875235160275,Medium
71,2015-03-13,2788441.13,1718351.03,445088444.2,386330961.9,10898089.9,10794288.74,1492015.36,1070090.1,35.45,0.0,0.1,643656.58,1244649.75,2895356.44,0.7796137252748485,22077191.52013335,30.055132001890563,68.19029433212992,30.055132001890563,68.19029433212992,49.12271316701025,Medium
72,2015-03-14,1049699.05,3397997.94,440625510.6,365592752.2,75109929.61,9725143.76,1975161.48,-2348298.89,4.87,-0.01,-0.24,1316849.82,988903.7,1960581.08,0.0,23571534.88488732,17.87345073131407,72.80590469103407,17.87345073131407,72.80590469103407,45.33967771117407,Medium
73,2015-03-15,8339152.86,2339303.77,412666430.1,294414429.5,58209093.94,9840951.56,2281124.79,5999849.09,5.06,0.01,0.61,696907.92,1454969.38,167955.57,-0.2610734247249412,7921322.7585390415,13.794105864603472,24.466759275607075,13.794105864603472,24.466759275607075,19.130432570105274,Low
74,2015-03-16,7361716.09,614238.6,405513696.3,222686918.9,85250593.29,10872921.97,2749231.95,6747477.49,2.61,0.02,0.62,1920145.03,1085239.02,1347510.13,0.6314271571591369,8347907.586961725,27.739675663907583,25.784360972418746,27.739675663907583,25.784360972418746,26.762018318163165,Low
75,2015-03-17,7561064.51,1202686.69,187105612.6,350588280.7,83924952.66,9479669.25,5320963.03,6358377.82,4.18,0.03,0.67,163504.79,1390754.98,2637525.23,0.23293663528747285,15287528.56381181,21.513150438129966,47.21891692729557,21.513150438129966,47.21891692729557,34.36603368271277,Medium
76,2015-03-18,7941433.12,3721875.03,86413677.37,69647890.65,85899355.1,7577810.8,5007091.13,4219558.09,0.81,0.05,0.56,1201606.4,799841.24,974222.94,0.3730563771203849,22371960.362231076,23.702560372033123,69.10075316853828,23.702560372033123,69.10075316853828,46.4016567702857,Medium
77,2015-03-19,1666401.87,3465157.74,231341080.4,320393721.8,53658519.4,5586995.03,5720598.96,-1798755.87,5.97,-0.01,-0.32,416356.74,219743.4,374213.4,0.29290282373325083,18593426.74631882,22.4501388093907,57.429915454514244,22.4501388093907,57.429915454514244,39.940027131952476,Medium
78,2015-03-20,4226191.56,621931.97,128086031.7,67431909.31,40026555.63,11991557.3,3218764.88,3604259.59,1.68,0.03,0.3,1453218.39,815857.7,2299315.84,0.044451889520755995,18442913.884179153,18.568023867293462,56.96502315330304,18.568023867293462,56.96502315330304,37.76652351029825,Medium
79,2015-03-21,2042821.54,1498874.73,362727990.0,321800051.8,81240238.23,4941541.59,6679982.39,543946.81,3.96,0.0,0.11,434191.54,233965.6,1857440.11,0.3773359517815315,21301966.989867013,23.769429916277414,65.79584172052212,23.769429916277414,65.79584172052212,44.78263581839977,Medium
80,2015-03-22,8767930.83,1539836.58,205744876.9,124791675.9,50616470.17,11000605.98,2030657.46,7228094.25,2.47,0.04,0.66,547228.2,909115.54,1753906.27,0.0,20649961.620194584,17.87345073131407,63.781978769541865,17.87345073131407,63.781978769541865,40.827714750427965,Medium
81,2015-03-23,6609683.14,3523517.35,489024590.4,353294420.8,26509797.68,5033326.69,4017805.61,3086165.8,13.33,0.01,0.61,1039304.54,749614.94,255372.02,0.5055155415922906,22037641.005144924,25.772271654238637,68.06813380933023,25.772271654238637,68.06813380933023,46.920202731784435,Medium
82,2015-03-24,3978082.22,588697.42,338437434.8,378735995.7,86947661.76,10129292.21,6507040.41,3389384.8,4.36,0.01,0.33,1838186.4,952734.33,507447.13,0.24556283617969935,23231463.44789889,21.71043833845926,71.75551875942482,21.71043833845926,71.75551875942482,46.732978548942036,Medium
83,2015-03-25,1572025.15,968488.62,420116253.6,76542468.37,89430388.91,11712017.47,1851189.86,603536.53,0.86,0.0,0.05,502257.31,64568.12,1905393.25,-0.2445896955552605,20865493.427974854,14.051668717059364,64.44769648083088,14.051668717059364,64.44769648083088,39.24968259894513,Medium
84,2015-03-26,3798840.9,4099622.38,109636102.7,195816729.9,51967878.05,4843280.56,1323973.35,-300781.49,3.77,0.0,-0.06,374056.04,332518.71,702689.14,0.5482611443914153,24840499.94511602,26.440183585668557,76.72538425324524,26.440183585668557,76.72538425324524,51.5827839194569,Medium
85,2015-03-27,3926649.9,1303450.98,437906517.0,392775203.7,16812975.46,2779262.91,7127629.76,2623198.92,23.36,0.01,0.94,1542055.98,762429.13,1561803.23,0.0,28189859.620355926,17.87345073131407,87.07062322399439,17.87345073131407,87.07062322399439,52.47203697765423,Medium
86,2015-03-28,7566455.61,3437357.49,465240735.7,203694825.7,44904348.09,3702658.66,3071972.47,4129098.12,4.54,0.01,1.12,1051177.11,1428230.16,1680156.89,0.29784093433821723,24252280.539003517,22.5272981608982,74.90853837418027,22.5272981608982,74.90853837418027,48.71791826753923,Medium
87,2015-03-29,6738017.24,1571822.51,269177863.5,348148058.6,82318389.35,9877960.57,5629025.94,5166194.73,4.23,0.02,0.52,1832391.71,606233.11,922170.85,0.23804182014438652,17813245.86902334,21.592920371288045,55.02015406767473,21.592920371288045,55.02015406767473,38.306537219481385,Medium
88,2015-03-30,8984914.68,947486.27,322813822.0,243717978.4,91159662.57,13042803.28,690114.53,8037428.42,2.67,0.02,0.62,378567.66,665339.44,2850432.95,0.08288157954094304,15306916.422928914,19.168498461282855,47.27880062303012,19.168498461282855,47.27880062303012,33.22364954215649,Medium
89,2015-03-31,5249934.33,1594274.86,394164410.4,162625365.0,28312546.82,2584958.68,5675351.66,3655659.47,5.74,0.01,1.41,1327263.0,1086309.33,2543145.91,0.7355393870042475,14604706.087797195,29.366458209193095,45.1098685198671,29.366458209193095,45.1098685198671,37.238163364530095,Medium
90,2015-04-01,2076348.21,3750201.19,128677382.3,128597751.1,16027625.08,11543966.37,2870759.84,-1673852.98,8.02,-0.01,-0.14,542470.38,925499.5,2194883.17,-0.18810443033395385,18273484.704316694,14.934266694881467,56.44170361636211,14.934266694881467,56.44170361636211,35.68798515562179,Medium
91,2015-04-02,7419203.09,4350634.11,276154734.4,97224774.61,88961540.78,6437142.4,918056.4,3068568.98,1.09,0.01,0.48,397844.81,483442.92,326182.21,-0.3327258462488939,15765866.15138785,12.674516851516165,48.69636847982592,12.674516851516165,48.69636847982592,30.685442665671044,Medium
92,2015-04-03,7847065.44,4235989.39,229398362.5,309483312.7,45046444.51,8220868.81,5073595.71,3611076.05,6.87,0.02,0.44,1398515.89,645683.77,407777.06,1.132305686620899,17113471.41216015,35.56604198272422,52.858745713895175,35.56604198272422,52.858745713895175,44.2123938483097,Medium
93,2015-04-04,6051494.78,2287325.88,115868296.5,166885392.6,58758486.78,14075174.15,2306028.62,3764168.89,2.84,0.03,0.27,1228000.78,365664.71,1529065.9,0.04215060471108588,15929750.592422748,18.532065652147445,49.20256186318426,18.532065652147445,49.20256186318426,33.867313757665855,Medium
